Date,Competition Name,Home team,Opponent,Away team,Minute,Score Home Team - When Messi Scored,Score Away Team - When Messi Scored,Goal Type,Goal Method,Final Game Result
 15 november 2016,,Argentina,Colombia,Colombia,10,1,0,Free kick,Left foot,Won
 1 september 2016,,Argentina,Uruguay,Uruguay,43,1,0,Field goal,Left foot,Won
 21 june 2016,Copa America,United States,United States,Argentina,32,0,2,Free kick,Left foot,Won
 18 june 2016,Copa America,Argentina,Venezuela,Venezuela,60,3,0,Field goal,Left foot,Won
 10 june 2016,Copa America,Argentina,Panama,Panama,87,4,0,Field goal,Left foot,Won
 10 june 2016,Copa America,Argentina,Panama,Panama,78,3,0,Free kick,Left foot,Won
 10 june 2016,Copa America,Argentina,Panama,Panama,68,2,0,Field goal,Left foot,Won
 29 march 2016,,Argentina,Bolivia,Bolivia,30,2,0,Penalty,Left foot,Won
 8 september 2015,,Argentina,Mexico,Mexico,88,2,2,Field goal,Left foot,Draw
 4 september 2015,,Argentina,Bolivia,Bolivia,74,6,0,Field goal,Left foot,Won
 4 september 2015,,Argentina,Bolivia,Bolivia,66,5,0,Field goal,Head,Won
 13 june 2015,Copa America,Argentina,Paraguay,Paraguay,35,2,0,Penalty,Left foot,Draw
 12 november 2014,,Argentina,Croatia,Croatia,57,2,1,Penalty,Left foot,Won
 14 october 2014,,Hong Kong,Hong Kong,Argentina,84,0,7,Solo run,Left foot,Won
 14 october 2014,,Hong Kong,Hong Kong,Argentina,66,0,5,,Left foot,Won
 25 june 2014,World Cup,Nigeria,Nigeria,Argentina,45+1,1,2,Free kick,Left foot,Won
 25 june 2014,World Cup,Nigeria,Nigeria,Argentina,3,0,1,Rebound,Left foot,Won
 21 june 2014,World Cup,Argentina,Iran,Iran,90+1,1,0,,Left foot,Won
 16 june 2014,World Cup,Argentina,Bosnia-Herzegovina,Bosnia-Herzegovina,65,2,0,Solo run,Left foot,Won
 7 june 2014,,Argentina,Slovenia,Slovenia,75,2,0,Field goal,Left foot,Won
 11 september 2013,,Paraguay,Paraguay,Argentina,52,1,4,Penalty,Left foot,Won
 11 september 2013,,Paraguay,Paraguay,Argentina,12,0,1,Penalty,Left foot,Won
 15 june 2013,,Guatemala,Guatemala,Argentina,49,0,4,Field goal,Left foot,Won
 15 june 2013,,Guatemala,Guatemala,Argentina,40,0,3,Penalty,Left foot,Won
 15 june 2013,,Guatemala,Guatemala,Argentina,15,0,1,Field goal,Left foot,Won
 23 march 2013,,Argentina,Venezuela,Venezuela,44,2,0,Penalty,Left foot,Won
 17 october 2012,,Chile,Chile,Argentina,28,0,1,,Left foot,Won
 13 october 2012,,Argentina,Uruguay,Uruguay,80,3,0,Free kick,Left foot,Won
 13 october 2012,,Argentina,Uruguay,Uruguay,65,1,0,,Right foot,Won
 8 september 2012,,Argentina,Paraguay,Paraguay,63,3,1,Free kick,Left foot,Won
 15 august 2012,,Germany,Germany,Argentina,52,0,2,,Left foot,Won
 9 june 2012,,Argentina,Brazil,Brazil,85,4,3,Solo run,Left foot,Won
 9 june 2012,,Argentina,Brazil,Brazil,35,2,1,,Left foot,Won
 9 june 2012,,Argentina,Brazil,Brazil,31,1,1,,Left foot,Won
 3 june 2012,,Argentina,Ecuador,Ecuador,31,3,0,Field goal,Left foot,Won
 29 february 2012,,Switzerland,Switzerland,Argentina,90+3,1,3,Penalty,Left foot,Won
 29 february 2012,,Switzerland,Switzerland,Argentina,88,1,2,,Left foot,Won
 29 february 2012,,Switzerland,Switzerland,Argentina,20,0,1,,Left foot,Won
 15 november 2011,,Colombia,Colombia,Argentina,60,1,1,Rebound,Left foot,Won
 8 october 2011,,Argentina,Chile,Chile,26,2,0,Field goal,Left foot,Won
 20 june 2011,,Argentina,Albania,Albania,42,2,0,Field goal,Left foot,Won
 9 february 2011,,Argentina,Portugal,Portugal,90,2,1,Penalty,Left foot,Won
 17 november 2010,,Argentina,Brazil,Brazil,90+2,1,0,Solo run,Left foot,Won
 7 september 2010,,Argentina,Spain,Spain,10,1,0,Field goal,Left foot,Won
 14 november 2009,,Spain,Spain,Argentina,61,1,1,Penalty,Left foot,Lost
 28 march 2009,,Argentina,Venezuela,Venezuela,26,1,0,,Left foot,Won
 11 february 2009,,France,France,Argentina,83,0,2,Solo run,Left foot,Won
 11 october 2008,,Argentina,Uruguay,Uruguay,6,1,0,,Head,Won
 5 june 2008,,Mexico,Mexico,Argentina,18,0,2,,Left foot,Won
 21 november 2007,,Colombia,Colombia,Argentina,36,0,1,Solo run,Left foot,Lost
 17 october 2007,,Venezuela,Venezuela,Argentina,43,0,2,,Left foot,Won
 12 juillet 2007,Copa America,Mexico,Mexico,Argentina,61,0,2,,Left foot,Won
 9 juillet 2007,Copa America,Argentina,Peru,Peru,61,2,0,,Left foot,Won
 5 june 2007,,Argentina,Algeria,Algeria,73,4,2,,Left foot,Won
 5 june 2007,,Argentina,Algeria,Algeria,54,2,2,Penalty,Left foot,Won
 16 june 2006,World Cup,Argentina,Serbia and Montenegro,Serbia and Montenegro,88,6,0,,Right foot,Won
 1 march 2006,,Croatia,Croatia,Argentina,6,1,2,,Left foot,Lost
